Root,ChordType,Index,String1,String2,String3,String4,String5,String6,NumStrings
A,Dom7,1179,9.0,0.0,5.0,2.0,10.0,0.0,6
A,Dom7,1180,9.0,0.0,7.0,0.0,5.0,5.0,6
A,Dom7,1181,9.0,0.0,7.0,0.0,10.0,0.0,6
A,Dom7,1182,5.0,4.0,7.0,9.0,8.0,5.0,6
A,Dom7,1183,5.0,4.0,7.0,9.0,10.0,3.0,6
A,Dom7,1184,9.0,0.0,7.0,9.0,8.0,5.0,6
A,Dom7,1185,9.0,0.0,7.0,9.0,10.0,3.0,6
A,Dom7,1186,0.0,0.0,5.0,2.0,2.0,5.0,6
A,Dom7,1187,0.0,0.0,7.0,0.0,2.0,5.0,6
A,Dom7,1188,0.0,0.0,7.0,6.0,8.0,5.0,6
A,Dom7,1189,0.0,0.0,7.0,6.0,10.0,3.0,6
A,Dom7,1190,3.0,0.0,2.0,2.0,2.0,5.0,6
A,Dom7,1191,5.0,7.0,5.0,2.0,2.0,5.0,6
A,Dom7,1192,5.0,7.0,7.0,0.0,2.0,5.0,6
A,Dom7,1193,5.0,10.0,2.0,2.0,2.0,5.0,6
A,Dom7,1194,5.0,7.0,7.0,6.0,8.0,5.0,6
A,Dom7,1195,5.0,7.0,7.0,6.0,10.0,3.0,6
A,Dom7,1196,3.0,0.0,7.0,6.0,5.0,5.0,6
A,Dom7,1197,3.0,0.0,7.0,6.0,10.0,0.0,6
A,Dom7,1198,3.0,0.0,7.0,9.0,2.0,5.0,6
A,Dom7,1199,5.0,10.0,7.0,6.0,5.0,5.0,6
A,Dom7,1200,5.0,10.0,7.0,6.0,10.0,0.0,6
A,Dom7,1201,5.0,10.0,7.0,9.0,2.0,5.0,6
A,Dom7,1202,0.0,0.0,5.0,2.0,10.0,9.0,6
A,Dom7,1203,0.0,0.0,7.0,0.0,10.0,9.0,6
A,Dom7,1204,3.0,0.0,2.0,2.0,10.0,9.0,6
A,Dom7,1205,5.0,7.0,5.0,2.0,10.0,9.0,6
A,Dom7,1206,5.0,7.0,7.0,0.0,10.0,9.0,6
A,Dom7,1207,5.0,10.0,2.0,2.0,10.0,9.0,6
A,Dom7,1208,3.0,0.0,7.0,9.0,10.0,9.0,6
A,Dom7,1209,5.0,10.0,7.0,9.0,10.0,9.0,6
A,Dom7,1210,5.0,4.0,2.0,2.0,2.0,3.0,6
A,Dom7,1211,9.0,0.0,2.0,2.0,2.0,3.0,6
A,Dom7,1212,5.0,4.0,5.0,2.0,2.0,0.0,6
A,Dom7,1213,5.0,4.0,7.0,0.0,2.0,0.0,6
A,Dom7,1214,9.0,0.0,5.0,2.0,2.0,0.0,6
A,Dom7,1215,9.0,0.0,7.0,0.0,2.0,0.0,6
A,Dom7,1216,5.0,4.0,7.0,6.0,5.0,3.0,6
A,Dom7,1217,5.0,4.0,7.0,6.0,8.0,0.0,6
A,Dom7,1218,5.0,4.0,7.0,9.0,2.0,3.0,6
A,Dom7,1219,9.0,0.0,7.0,6.0,5.0,3.0,6
A,Dom7,1220,9.0,0.0,7.0,6.0,8.0,0.0,6
A,Dom7,1221,9.0,0.0,7.0,9.0,2.0,3.0,6
A,Dom7,1222,5.0,4.0,2.0,2.0,8.0,9.0,6
A,Dom7,1223,9.0,0.0,2.0,2.0,8.0,9.0,6
A,Dom7,1224,5.0,4.0,5.0,2.0,5.0,9.0,6
A,Dom7,1225,5.0,4.0,7.0,0.0,5.0,9.0,6
A,Dom7,1226,9.0,0.0,5.0,2.0,5.0,9.0,6
A,Dom7,1227,9.0,0.0,7.0,0.0,5.0,9.0,6
A,Dom7,1228,5.0,4.0,7.0,9.0,8.0,9.0,6
A,Dom7,1229,9.0,0.0,7.0,9.0,8.0,9.0,6
A,Dom7,1230,5.0,4.0,2.0,2.0,5.0,3.0,6
A,Dom7,1231,5.0,4.0,2.0,2.0,8.0,0.0,6
A,Dom7,1232,9.0,0.0,2.0,2.0,5.0,3.0,6
A,Dom7,1233,9.0,0.0,2.0,2.0,8.0,0.0,6
A,Dom7,1234,5.0,4.0,5.0,2.0,5.0,3.0,6
A,Dom7,1235,5.0,4.0,5.0,2.0,8.0,0.0,6
A,Dom7,1236,5.0,4.0,7.0,0.0,5.0,3.0,6
A,Dom7,1237,5.0,4.0,7.0,0.0,8.0,0.0,6
A,Dom7,1238,9.0,0.0,5.0,2.0,5.0,3.0,6
A,Dom7,1239,9.0,0.0,5.0,2.0,8.0,0.0,6
A,Dom7,1240,9.0,0.0,7.0,0.0,5.0,3.0,6
A,Dom7,1241,9.0,0.0,7.0,0.0,8.0,0.0,6
A,Dom7,1242,0.0,0.0,5.0,2.0,2.0,9.0,6
A,Dom7,1243,0.0,0.0,7.0,0.0,2.0,9.0,6
A,Dom7,1244,0.0,0.0,7.0,6.0,8.0,9.0,6
A,Dom7,1245,3.0,0.0,2.0,2.0,2.0,9.0,6
A,Dom7,1246,5.0,7.0,5.0,2.0,2.0,9.0,6
A,Dom7,1247,5.0,7.0,7.0,0.0,2.0,9.0,6
A,Dom7,1248,5.0,10.0,2.0,2.0,2.0,9.0,6
A,Dom7,1249,5.0,7.0,7.0,6.0,8.0,9.0,6
A,Dom7,1250,3.0,0.0,7.0,6.0,5.0,9.0,6
A,Dom7,1251,3.0,0.0,7.0,9.0,2.0,9.0,6
A,Dom7,1252,5.0,10.0,7.0,6.0,5.0,9.0,6
A,Dom7,1253,5.0,10.0,7.0,9.0,2.0,9.0,6
A,Dom7,1254,0.0,0.0,2.0,2.0,2.0,3.0,6
A,Dom7,1255,0.0,0.0,5.0,2.0,2.0,0.0,6
A,Dom7,1256,0.0,0.0,7.0,0.0,2.0,0.0,6
A,Dom7,1257,0.0,0.0,7.0,6.0,5.0,3.0,6
A,Dom7,1258,0.0,0.0,7.0,6.0,8.0,0.0,6
A,Dom7,1259,0.0,0.0,7.0,9.0,2.0,3.0,6
A,Dom7,1260,0.0,0.0,5.0,2.0,2.0,3.0,6
A,Dom7,1261,0.0,0.0,7.0,0.0,2.0,3.0,6
A,Dom7,1262,3.0,0.0,2.0,2.0,2.0,0.0,6
A,Dom7,1263,5.0,7.0,5.0,2.0,2.0,0.0,6
A,Dom7,1264,5.0,7.0,7.0,0.0,2.0,0.0,6
A,Dom7,1265,5.0,10.0,2.0,2.0,2.0,0.0,6
A,Dom7,1266,5.0,7.0,7.0,6.0,5.0,3.0,6
A,Dom7,1267,5.0,7.0,7.0,6.0,8.0,0.0,6
A,Dom7,1268,5.0,7.0,7.0,9.0,2.0,3.0,6
A,Dom7,1269,3.0,0.0,2.0,2.0,2.0,3.0,6
A,Dom7,1270,5.0,7.0,5.0,2.0,2.0,3.0,6
